Archivo;S11_MAG;S11_ANG;S21_MAG;S21_ANG;S12_MAG;S12_ANG;S22_MAG;S22_ANG
BFP760_w_noise_VCE_1.0V_IC_1.0mA.s2p;0.8492;-86.3;3.011;110.5;0.1649;28.3;0.7968;-59.4
BFP760_w_noise_VCE_1.0V_IC_10mA.s2p;0.6725;-157.0;9.423;84.8;0.0727;17.7;0.4216;-127.7
BFP760_w_noise_VCE_1.0V_IC_15mA.s2p;0.6695;-167.8;10.082;81.1;0.0593;20.7;0.3906;-141.4
BFP760_w_noise_VCE_1.0V_IC_2.0mA.s2p;0.7858;-103.2;4.848;104.4;0.1426;23.0;0.6874;-73.3
BFP760_w_noise_VCE_1.0V_IC_20mA.s2p;0.672;-174.1;10.361;79.0;0.0522;24.0;0.3746;-149.3
BFP760_w_noise_VCE_1.0V_IC_25mA.s2p;0.6772;-178.3;10.44;77.5;0.0478;26.8;0.3633;-154.6
BFP760_w_noise_VCE_1.0V_IC_30mA.s2p;0.6844;178.5;10.342;76.3;0.0448;29.0;0.3534;-158.5
BFP760_w_noise_VCE_1.0V_IC_35mA.s2p;0.6951;175.8;10.028;75.2;0.0427;31.0;0.3431;-161.7
BFP760_w_noise_VCE_1.0V_IC_4.0mA.s2p;0.7185;-126.3;7.048;95.7;0.1121;18.2;0.5537;-94.0
BFP760_w_noise_VCE_1.0V_IC_40mA.s2p;0.7147;172.8;9.264;73.9;0.0409;32.2;0.3278;-165.1
BFP760_w_noise_VCE_1.0V_IC_6.0mA.s2p;0.6911;-140.3;8.201;90.7;0.094;16.8;0.4862;-108.2
BFP760_w_noise_VCE_1.0V_IC_8.0mA.s2p;0.6782;-150.1;8.938;87.2;0.0813;16.8;0.4459;-119.4
BFP760_w_noise_VCE_1.5V_IC_1.0mA.s2p;0.8601;-83.9;3.069;112.6;0.1508;30.4;0.8144;-55.5
BFP760_w_noise_VCE_1.5V_IC_10mA.s2p;0.6662;-153.2;10.038;86.4;0.068;19.6;0.4094;-116.9
BFP760_w_noise_VCE_1.5V_IC_15mA.s2p;0.6576;-164.4;10.829;82.5;0.0561;22.5;0.3658;-130.4
BFP760_w_noise_VCE_1.5V_IC_2.0mA.s2p;0.7971;-100.0;4.998;106.4;0.1313;25.2;0.708;-67.9
BFP760_w_noise_VCE_1.5V_IC_20mA.s2p;0.656;-170.8;11.218;80.3;0.0495;25.7;0.3441;-138.7
BFP760_w_noise_VCE_1.5V_IC_25mA.s2p;0.6571;-175.1;11.411;78.9;0.0455;28.6;0.3304;-144.2
BFP760_w_noise_VCE_1.5V_IC_30mA.s2p;0.6601;-178.3;11.489;77.8;0.0428;31.0;0.3207;-148.1
BFP760_w_noise_VCE_1.5V_IC_35mA.s2p;0.6641;179.3;11.46;77.0;0.0408;32.9;0.3123;-151.0
BFP760_w_noise_VCE_1.5V_IC_4.0mA.s2p;0.7279;-121.5;7.284;98.0;0.1051;20.5;0.5731;-85.5
BFP760_w_noise_VCE_1.5V_IC_40mA.s2p;0.67;177.2;11.313;76.2;0.0393;34.6;0.3039;-153.3
BFP760_w_noise_VCE_1.5V_IC_6.0mA.s2p;0.6928;-136.1;8.64;92.6;0.0878;18.8;0.4912;-98.9
